    TRACE t | det f0 voiced | gate lastGood bigJump gated | inC noteRef slowC(age) select degree prov | pend(C conf n) gap stable | cur target applied | path nc
     4.480 |  166.6 1 |  166.6 0  166.6 |  -781.6  -710.3  -715.2(141)  -715.2  -700.0 0 | 0(-687.4  0.0 3)    0    0 |  -700.0  -700.0  +81.6 | LEGACY 17
     4.483 |  165.8 1 |  165.8 0  165.8 |  -789.6  -710.3  -716.6(144)  -716.6  -700.0 0 | 0(-687.4  0.0 3)    0    0 |  -700.0  -700.0  +89.6 | LEGACY 17
     4.485 |  165.3 1 |  165.3 0  165.3 |  -794.8  -710.3  -718.1(147)  -718.1  -700.0 0 | 0(-687.4  0.0 3)    0    0 |  -700.0  -700.0  +94.8 | LEGACY 17
     4.488 |  165.2 1 |  165.2 0  165.2 |  -796.3  -710.3  -719.6(149)  -719.6  -700.0 0 | 0(-687.4  0.0 3)    0    0 |  -700.0  -700.0  +96.3 | LEGACY 17
     4.491 |  164.9 1 |  164.9 0  164.9 |  -798.7  -710.3  -721.1(152)  -721.1  -700.0 0 | 0(-687.4  0.0 3)    0    0 |  -700.0  -700.0  +98.7 | LEGACY 17
     4.493 |  164.9 1 |  164.9 0  164.9 |  -798.9  -710.3  -722.5(155)  -722.5  -700.0 0 | 0(-687.4  0.0 3)    0    0 |  -700.0  -700.0  +98.9 | LEGACY 17
     4.496 |  164.8 1 |  164.8 0  164.8 |  -800.5  -710.3  -724.0(157)  -800.5  -800.0 1 | 1(-800.5  0.0 1)    0    0 |  -735.9  -735.9  +64.6 | LEGACY 17
     4.499 |  164.8 1 |  164.8 0  164.8 |  -800.5  -710.3  -725.4(160)  -800.5  -800.0 1 | 1(-800.5  2.7 2)    0    0 |  -758.9  -758.9  +41.7 | LEGACY 17
     4.501 |  164.8 1 |  164.8 0  164.8 |  -800.6  -710.3  -726.9(163)  -800.6  -800.0 1 | 1(-800.5  5.3 3)    0    0 |  -773.6  -773.6  +26.9 | LEGACY 17
     4.504 |  164.8 1 |  164.8 0  164.8 |  -800.5  -710.3  -728.3(165)  -800.5  -800.0 1 | 1(-800.5  8.0 3)    0    0 |  -783.1  -783.1  +17.4 | LEGACY 17
     4.507 |  164.8 1 |  164.8 0  164.8 |  -799.7  -710.3  -729.6(168)  -729.6  -700.0 0 | 0(-800.5  0.0 3)    0    0 |  -753.3  -753.3  +46.4 | LEGACY 17
     4.509 |  164.9 1 |  164.9 0  164.9 |  -799.1  -710.3  -730.9(171)  -730.9  -700.0 0 | 0(-800.5  0.0 3)    0    0 |  -734.2  -734.2  +65.0 | LEGACY 17
     4.512 |  164.9 1 |  164.9 0  164.9 |  -799.1  -710.3  -732.2(173)  -732.2  -700.0 0 | 0(-800.5  0.0 3)    0    0 |  -721.9  -721.9  +77.2 | LEGACY 17
