    TRACE t | det f0 voiced | gate lastGood bigJump gated | inC noteRef slowC(age) select degree prov | pend(C conf n) gap stable | cur target applied | path nc
     0.552 |  194.7 1 |  194.7 0  194.7 |  -511.6  -492.9  -495.1( 61)  -495.1  -500.0 0 | 0(-532.3  0.0 3)    0   64 |  -500.0  -500.0  +11.6 | LEGACY 1
     0.555 |  194.1 1 |  194.1 0  194.1 |  -517.1  -492.9  -495.5( 64)  -495.5  -500.0 0 | 0(-532.3  0.0 3)    0   67 |  -500.0  -500.0  +17.1 | LEGACY 1
     0.557 |  193.6 1 |  193.6 0  193.6 |  -521.2  -492.9  -496.0( 67)  -496.0  -500.0 0 | 0(-532.3  0.0 3)    0   69 |  -500.0  -500.0  +21.2 | LEGACY 1
     0.560 |  193.0 1 |  193.0 0  193.0 |  -526.8  -492.9  -496.6( 69)  -496.6  -500.0 0 | 0(-532.3  0.0 3)    0   72 |  -500.0  -500.0  +26.8 | LEGACY 1
     0.563 |  192.6 1 |  192.6 0  192.6 |  -530.3  -492.9  -497.2( 72)  -497.2  -500.0 0 | 0(-532.3  0.0 3)    0   75 |  -500.0  -500.0  +30.3 | LEGACY 1
     0.565 |    0.0 0 |  192.6 0    0.0 |  -530.3  -492.9  -497.2( 72)  -497.2  -500.0 0 | 0(-532.3  0.0 3)    3   75 |  -500.0    +0.0   +0.0 | LEGACY 1
     0.568 |    0.0 0 |  192.6 0    0.0 |  -530.3  -492.9  -497.2( 72)  -497.2  -500.0 0 | 0(-532.3  0.0 3)    5   75 |  -500.0    +0.0   +0.0 | LEGACY 1
     0.571 |    0.0 0 |  192.6 0    0.0 |  -530.3  -492.9  -497.2( 72)  -497.2  -500.0 0 | 0(-532.3  0.0 3)    8   75 |  -500.0    +0.0   +0.0 | LEGACY 1
     0.573 |    0.0 0 |  192.6 0    0.0 |  -530.3  -492.9  -497.2( 72)  -497.2  -500.0 0 | 0(-532.3  0.0 3)   11   75 |  -500.0    +0.0   +0.0 | LEGACY 1
     0.576 |    0.0 0 |  192.6 0    0.0 |  -530.3  -492.9  -497.2( 72)  -497.2  -500.0 0 | 0(-532.3  0.0 3)   13   75 |  -500.0    +0.0   +0.0 | LEGACY 1
     0.579 |    0.0 0 |  192.6 0    0.0 |  -530.3  -492.9  -497.2( 72)  -497.2  -500.0 0 | 0(-532.3  0.0 3)   16   75 |  -500.0    +0.0   +0.0 | LEGACY 1
     0.581 |    0.0 0 |  192.6 0    0.0 |  -530.3  -492.9  -497.2( 72)  -497.2  -500.0 0 | 0(-532.3  0.0 3)   19   75 |  -500.0    +0.0   +0.0 | LEGACY 1
     0.584 |    0.0 0 |  192.6 0    0.0 |  -530.3  -492.9  -497.2( 72)  -497.2  -500.0 0 | 0(-532.3  0.0 3)   21   75 |  -500.0    +0.0   +0.0 | LEGACY 1
     0.587 |  192.2 1 |  192.2 0  192.2 |  -534.0  -492.9  -497.9( 75)  -497.9  -500.0 0 | 0(-532.3  0.0 3)    0   77 |  -500.0  -500.0  +34.0 | LEGACY 1
     0.589 |  175.4 1 |  175.4 0  175.4 |  -692.2  -492.9  -501.6( 77)  -692.2  -700.0 1 | 1(-692.2  0.0 1)    0    0 |  -571.8  -571.8 +120.5 | LEGACY 1
     0.592 |  171.8 1 |  171.8 0  171.8 |  -728.2  -492.9  -505.9( 80)  -728.2  -700.0 1 | 1(-692.2  2.7 2)    0    0 |  -617.8  -617.8 +110.5 | LEGACY 1
     0.595 |  170.4 1 |  170.4 0  170.4 |  -742.0  -492.9  -510.3( 83)  -742.0  -700.0 1 | 1(-692.2  5.3 3)    0    0 |  -647.3  -647.3  +94.8 | LEGACY 1
     0.597 |  169.1 1 |  169.1 0  169.1 |  -755.4  -492.9  -515.0( 85)  -755.4  -800.0 1 | 1(-692.2  8.0 3)    0    0 |  -702.1  -702.1  +53.3 | LEGACY 1
     0.600 |  168.6 1 |  168.6 0  168.6 |  -760.6  -492.9  -519.6( 88)  -760.6  -800.0 1 | 1(-692.2 10.7 3)    0    0 |  -737.2  -737.2  +23.4 | LEGACY 1
     0.603 |  166.8 1 |  166.8 0  166.8 |  -778.9  -492.9  -524.5( 91)  -778.9  -800.0 1 | 1(-692.2 13.3 3)    0    0 |  -759.7  -759.7  +19.1 | LEGACY 1
     0.605 |  166.2 1 |  166.2 0  166.2 |  -785.7  -492.9  -529.4( 93)  -785.7  -800.0 1 | 1(-785.7  0.0 1)    0    0 |  -774.2  -774.2  +11.6 | LEGACY 1
     0.608 |  165.6 1 |  165.6 0  165.6 |  -791.8  -492.9  -534.4( 96)  -791.8  -800.0 1 | 1(-785.7  2.7 2)    0    0 |  -783.5  -783.5   +8.4 | LEGACY 1
     0.611 |  165.6 1 |  165.6 0  165.6 |  -791.8  -492.9  -539.2( 99)  -791.8  -800.0 1 | 1(-785.7  5.3 3)    0    0 |  -789.4  -789.4   +2.4 | LEGACY 1
     0.613 |  165.8 1 |  165.8 0  165.8 |  -789.4  -492.9  -543.9(101)  -789.4  -800.0 1 | 1(-785.7  8.0 3)    0    0 |  -793.2  -793.2   -3.8 | LEGACY 1
     0.616 |  166.2 1 |  166.2 0  166.2 |  -785.7  -492.9  -548.5(104)  -785.7  -800.0 1 | 1(-785.7 10.7 3)    0    0 |  -795.6  -795.6  -10.0 | LEGACY 1
     0.619 |  167.0 1 |  167.0 0  167.0 |  -777.4  -492.9  -552.8(107)  -777.4  -800.0 1 | 1(-785.7 13.3 3)    0    0 |  -797.2  -797.2  -19.9 | LEGACY 1
     0.621 |  168.4 1 |  168.4 0  168.4 |  -762.3  -762.3  -762.3(  0)  -762.3  -800.0 0 | 0(-785.7 16.0 3)    0    3 |  -775.8  -775.8  -13.5 | LEGACY 2
     0.624 |  169.3 1 |  169.3 0  169.3 |  -753.5  -762.3  -762.2(  3)  -762.2  -800.0 0 | 0(-785.7  0.0 3)    0    5 |  -784.5  -784.5  -31.0 | LEGACY 2
     0.627 |  171.4 1 |  171.4 0  171.4 |  -732.4  -762.3  -761.6(  5)  -761.6  -800.0 0 | 0(-785.7  0.0 3)    0    8 |  -790.1  -790.1  -57.7 | LEGACY 2
     0.629 |  172.1 1 |  172.1 0  172.1 |  -724.9  -762.3  -760.9(  8)  -760.9  -800.0 0 | 0(-785.7  0.0 3)    0   11 |  -793.6  -793.6  -68.8 | LEGACY 2
     0.632 |  173.8 1 |  173.8 0  173.8 |  -708.4  -762.3  -759.9( 11)  -759.9  -800.0 0 | 0(-785.7  0.0 3)    0   13 |  -795.9  -795.9  -87.5 | LEGACY 2
     0.635 |  174.2 1 |  174.2 0  174.2 |  -704.5  -762.3  -758.9( 13)  -758.9  -800.0 0 | 0(-785.7  0.0 3)    0   16 |  -797.4  -797.4  -92.8 | LEGACY 2
     0.637 |  174.6 1 |  174.6 0  174.6 |  -700.6  -762.3  -757.8( 16)  -757.8  -800.0 0 | 0(-785.7  0.0 3)    0    0 |  -798.3  -798.3  -97.7 | LEGACY 2
     0.640 |  174.9 1 |  174.9 0  174.9 |  -697.6  -762.3  -756.6( 19)  -756.6  -800.0 0 | 0(-785.7  0.0 3)    0    0 |  -798.9  -798.9 -101.4 | LEGACY 2
