    TRACE t | det f0 voiced | gate lastGood bigJump gated | inC noteRef slowC(age) select degree prov | pend(C conf n) gap stable | cur target applied | path nc
     0.643 |  174.9 1 |  174.9 0  174.9 |  -697.5  -762.3  -755.5( 21)  -755.5  -800.0 0 | 0(-785.7  0.0 3)    0    0 |  -799.3  -799.3 -101.8 | LEGACY 2
     0.645 |  175.0 1 |  175.0 0  175.0 |  -696.1  -762.3  -754.4( 24)  -754.4  -800.0 0 | 0(-785.7  0.0 3)    0    0 |  -799.6  -799.6 -103.5 | LEGACY 2
     0.648 |  175.1 1 |  175.1 0  175.1 |  -694.8  -762.3  -753.3( 27)  -753.3  -800.0 0 | 0(-785.7  0.0 3)    0    0 |  -799.7  -799.7 -104.9 | LEGACY 2
     0.651 |  175.2 1 |  175.2 0  175.2 |  -693.9  -762.3  -752.2( 29)  -752.2  -800.0 0 | 0(-785.7  0.0 3)    0    0 |  -799.8  -799.8 -106.0 | LEGACY 2
     0.653 |  175.2 1 |  175.2 0  175.2 |  -693.9  -762.3  -751.1( 32)  -751.1  -800.0 0 | 0(-785.7  0.0 3)    0    0 |  -799.9  -799.9 -106.0 | LEGACY 2
     0.656 |  175.0 1 |  175.0 0  175.0 |  -696.2  -762.3  -750.0( 35)  -750.0  -800.0 0 | 0(-785.7  0.0 3)    0    0 |  -799.9  -799.9 -103.7 | LEGACY 2
     0.659 |  174.9 1 |  174.9 0  174.9 |  -697.4  -762.3  -749.0( 37)  -749.0  -700.0 0 | 0(-785.7  0.0 3)    0    0 |  -764.1  -764.1  -66.6 | LEGACY 2
     0.661 |  174.5 1 |  174.5 0  174.5 |  -701.1  -762.3  -748.1( 40)  -748.1  -700.0 0 | 0(-785.7  0.0 3)    0    0 |  -741.1  -741.1  -40.0 | LEGACY 2
     0.664 |  174.0 1 |  174.0 0  174.0 |  -705.7  -762.3  -747.3( 43)  -747.3  -700.0 0 | 0(-785.7  0.0 3)    0    3 |  -726.3  -726.3  -20.7 | LEGACY 2
     0.667 |  174.0 1 |  174.0 0  174.0 |  -705.8  -762.3  -746.5( 45)  -746.5  -700.0 0 | 0(-785.7  0.0 3)    0    5 |  -716.9  -716.9  -11.1 | LEGACY 2
     0.669 |  173.6 1 |  173.6 0  173.6 |  -710.1  -762.3  -745.9( 48)  -745.9  -700.0 0 | 0(-785.7  0.0 3)    0    8 |  -710.8  -710.8   -0.7 | LEGACY 2
     0.672 |  173.5 1 |  173.5 0  173.5 |  -711.0  -762.3  -745.2( 51)  -745.2  -700.0 0 | 0(-785.7  0.0 3)    0   11 |  -706.9  -706.9   +4.0 | LEGACY 2
     0.675 |  173.1 1 |  173.1 0  173.1 |  -715.0  -762.3  -744.6( 53)  -744.6  -700.0 0 | 0(-785.7  0.0 3)    0   13 |  -704.5  -704.5  +10.5 | LEGACY 2
     0.677 |  172.9 1 |  172.9 0  172.9 |  -717.1  -762.3  -744.1( 56)  -744.1  -700.0 0 | 0(-785.7  0.0 3)    0   16 |  -702.9  -702.9  +14.2 | LEGACY 2
     0.680 |  172.2 1 |  172.2 0  172.2 |  -724.3  -762.3  -743.7( 59)  -743.7  -700.0 0 | 0(-785.7  0.0 3)    0   19 |  -701.8  -701.8  +22.4 | LEGACY 2
     0.683 |  171.6 1 |  171.6 0  171.6 |  -729.9  -762.3  -743.5( 61)  -743.5  -700.0 0 | 0(-785.7  0.0 3)    0   21 |  -701.2  -701.2  +28.7 | LEGACY 2
     0.685 |  170.3 1 |  170.3 0  170.3 |  -743.3  -762.3  -743.5( 64)  -743.5  -700.0 0 | 0(-785.7  0.0 3)    0   24 |  -700.8  -700.8  +42.6 | LEGACY 2
     0.688 |    0.0 0 |  170.3 0    0.0 |  -743.3  -762.3  -743.5( 64)  -743.5  -700.0 0 | 0(-785.7  0.0 3)    3   24 |  -700.8    +0.0   +0.0 | LEGACY 2
     0.691 |    0.0 0 |  170.3 0    0.0 |  -743.3  -762.3  -743.5( 64)  -743.5  -700.0 0 | 0(-785.7  0.0 3)    5   24 |  -700.8    +0.0   +0.0 | LEGACY 2
     0.693 |    0.0 0 |  170.3 0    0.0 |  -743.3  -762.3  -743.5( 64)  -743.5  -700.0 0 | 0(-785.7  0.0 3)    8   24 |  -700.8    +0.0   +0.0 | LEGACY 2
     0.696 |    0.0 0 |  170.3 0    0.0 |  -743.3  -762.3  -743.5( 64)  -743.5  -700.0 0 | 0(-785.7  0.0 3)   11   24 |  -700.8    +0.0   +0.0 | LEGACY 2
     0.699 |    0.0 0 |  170.3 0    0.0 |  -743.3  -762.3  -743.5( 64)  -743.5  -700.0 0 | 0(-785.7  0.0 3)   13   24 |  -700.8    +0.0   +0.0 | LEGACY 2
